block_id,route_id,trip_headsign,service_id,shape_id,trip_id
a_937,13,Laurelwood,muwtf_merged_999106,1301,416251_merged_1002272
a_2532,25,Queen South to Downtown,a_merged_999103,2511,418090_merged_1003392
b_631,6,Downtown,a_merged_999110,601,417519_merged_1012017
b_804,8,Fairview via Westmount & Franklin TR,a_merged_999110,820,426143_merged_1008253
b_5431,57,Blair Road via Westcliff,muwtf_merged_999113,5701,413632_merged_1006738
a_1032,10,Conestoga College via Bechtel,muwtf_merged_999106,1002,415778_merged_1004759
b_708,7,C Conestoga Mall,a_merged_999110,701,418402_merged_1010333
b_2232,22,Laurentian West to Downtown,muwtf_merged_999113,2212,416767_merged_1009747
a_5831,58,Elmwood,a_merged_999103,5800,419668_merged_1001394
a_709,7,B Fairview Park via Weber,a_merged_999103,713,418497_merged_1005752
a_933,9,Lakeshore to UW,a_merged_999103,901,419227_merged_1000867
b_801,8,Fairview via Courtland TA,muwtf_merged_999113,812,426964_merged_1006284
a_5532,63,Champlain,a_merged_999103,6300,419513_merged_1002773
a_3131,29,Keats Way,muwtf_merged_999106,2901,421133_merged_1001901
a_5133,65,Fisher Mills on detour,a_merged_999103,6501,419007_merged_1004251
a_1131,6,Bridgeport,muwtf_merged_999106,600,413316_merged_1004261
a_2532,1,Downtown via Lorraine,a_merged_999103,112,417625_merged_999437
b_2101,21,Conestoga Mall,muwtf_merged_999113,2111,416454_merged_1006823
b_1333,13,Laurelwood,muwtf_merged_999113,1301,416232_merged_1008354
b_5832,58,Elmwood,muwtf_merged_999113,5800,416540_merged_1009768
a_2101,21,Conestoga Mall,muwtf_merged_999106,2111,416434_merged_1000775
a_8003,200,iXpress to Conestoga Mall,muwtf_merged_999106,20001,415865_merged_1002356
a_883,8,Downtown via Weber,muwtf_merged_999106,822,424672_merged_1000513
a_5633,67,Lovell Industrial,muwtf_merged_999106,6700,413925_merged_999239
